,X,id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,significant,beta,mediator,,,,,,,
28,2,cigPerDayPriorMale,DaiByX,FATHERS_AGE_AT_DEATH_PILLING_2017,outcome,Weighted median,296,-0.003061246,0.00106581,0.00407594,Yes!,-0.000340219,ICD10J41J43J44OPCS4CopdMale,,,,,,,
68,6,ICD10J41J43J44OPCS4CopdMale,IV5JUo,FATHERS_AGE_AT_DEATH_PILLING_2017,outcome,Weighted median,295,-0.011119379,0.004924525,0.02394816,Yes!,-0.000340219,ICD10J41J43J44OPCS4CopdMale,,,,,,,
108,10,cigPerDayPriorMale,RPh37b,ICD10J41J43J44OPCS4CopdMale,outcome,Weighted median,364,0.030596898,0.005385632,1.34E-08,Yes!,-0.000340219,ICD10J41J43J44OPCS4CopdMale,,,,,,,
29,2,clinLdlMale,zM4oT7,FATHERS_AGE_AT_DEATH_PILLING_2017,outcome,Weighted median,786,-0.07307836,0.012897109,1.46E-08,Yes!,0.003286163,ICD10E11OPCS4Type2DiabetesMale,,,,,,,
69,6,ICD10E11OPCS4Type2DiabetesMale,w9pcAd,FATHERS_AGE_AT_DEATH_PILLING_2017,outcome,Weighted median,785,-0.019736786,0.004043226,1.05E-06,Yes!,0.003286163,ICD10E11OPCS4Type2DiabetesMale,,,,,,,
109,10,clinLdlMale,PoB8PH,ICD10E11OPCS4Type2DiabetesMale,outcome,Weighted median,919,-0.16649939,0.056323547,0.003115318,Yes!,0.003286163,ICD10E11OPCS4Type2DiabetesMale,,,,,,,
210,2,clinLdlMale,WLjkiE,FATHERS_AGE_AT_DEATH_PILLING_2017,outcome,Weighted median,604,-0.045631659,0.014589475,0.001761734,Yes!,-0.018120151,ICD10I20I240I248I249I250I251I256I258I259I21I22I23I241I25OPCS4K401K402K403K404K411K412K413K414K451K452K453K454K455K491K491K498K499K502K751K751K753K754K758K759cadMale,,,,,,,
610,6,ICD10I20I240I248I249I250I251I256I258I259I21I22I23I241I25OPCS4K401K402K403K404K411K412K413K414K451K452K453K454K455K491K491K498K499K502K751K751K753K754K758K759cadMale,wTU3mE,FATHERS_AGE_AT_DEATH_PILLING_2017,outcome,Weighted median,604,-0.053362071,0.006174108,5.48E-18,Yes!,-0.018120151,ICD10I20I240I248I249I250I251I256I258I259I21I22I23I241I25OPCS4K401K402K403K404K411K412K413K414K451K452K453K454K455K491K491K498K499K502K751K751K753K754K758K759cadMale,,,,,,,
1010,10,clinLdlMale,9wep2s,ICD10I20I240I248I249I250I251I256I258I259I21I22I23I241I25OPCS4K401K402K403K404K411K412K413K414K451K452K453K454K455K491K491K498K499K502K751K751K753K754K758K759cadMale,outcome,Weighted median,728,0.33956986,0.047055139,5.34E-13,Yes!,-0.018120151,ICD10I20I240I248I249I250I251I256I258I259I21I22I23I241I25OPCS4K401K402K403K404K411K412K413K414K451K452K453K454K455K491K491K498K499K502K751K751K753K754K758K759cadMale,,,,,,,
211,2,totalCholMale,4GR0ct,FATHERS_AGE_AT_DEATH_PILLING_2017,outcome,Weighted median,821,-0.049431597,0.010497999,2.49E-06,Yes!,0.002739661,ICD10E11OPCS4Type2DiabetesMale,,,,,,,
